Campaign,Ad Group,Keyword,Match Type,Max CPC
Desktronic UK Promo,Desktronic UK Coupons,[desktronic discount code],Exact,280
Desktronic UK Promo,Desktronic UK Coupons,[desktronic code],Exact,280
Desktronic UK Promo,Desktronic UK Coupons,[desktronic voucher code],Exact,280
