Campaign,Ad Group,Keyword,Match Type,Max CPC
Desktronic US Promo,Desktronic US Coupons,[desktronic discount code],Exact,1400
Desktronic US Promo,Desktronic US Coupons,[desktronic coupon code],Exact,1400
Desktronic US Promo,Desktronic US Coupons,[desktronic code],Exact,1400
