Campaign,Ad Group,Keyword,Match Type,Max CPC
Desktronic NL Promo,Desktronic NL Coupons,[desktronic kortingscode],Exact,280
Desktronic NL Promo,Desktronic NL Coupons,[desktronic code],Exact,280
Desktronic NL Promo,Desktronic NL Coupons,[desktronic discount code],Exact,280
Desktronic NL Promo,Desktronic NL Coupons,[kortingscode desktronic],Exact,280
